group,standardization,networks,k,state_idx,VIS,SMN,DAN,VAN,LIM,FPN,DMN,fractional_occupancy,corresponding_state_bygroup,bygroup_overlap,corresponding_state_control,control_overlap,corresponding_state_k5,k5_overlap,corresponding_state_global,global_overlap,SUB
meditators,global,8,5,1,-0.34543151560720103,0.1300097953754133,-0.07377344040324088,-0.1601050448822434,0.681165869695061,0.01467445334359542,-0.023952700765647737,0.20462675732338295,4.0,0.9581949937862672,4.0,0.8458375625853329,,,,,0.0729009571930661
meditators,global,8,5,2,-0.7848621741169083,-0.639392497682794,-0.022932003388029424,0.0020324405360593358,0.03829853602620994,-0.3546005463258014,0.1659893033546472,0.1366772716836554,2.0,0.9893249351263718,1.0,0.8032438834726827,,,,,0.09304461137649318
meditators,global,8,5,3,-0.26999931611747396,-0.2737779629798922,-0.03356435330834972,0.17133579013898864,-0.7857347721785757,0.09784253558478055,-0.06636872309224098,0.19644185612408815,1.0,0.9383336776910765,0.0,0.7927285695353098,,,,,0.05366111417540081
meditators,global,8,5,4,0.1903968529513841,0.019176933583235533,0.2972634405410976,-0.3973782383488522,-0.027992206655425327,0.032064501359548754,0.050278993585052084,0.2279666669547412,3.0,0.5213323095307962,2.0,0.7723413420051137,,,,,-0.13088592087369205
meditators,bygroup,8,5,0,0.7475287540060545,0.5515740427421943,-0.14077955968597172,-0.09890565930622999,0.12566438022266202,0.10485506646820285,0.04532525957262682,0.3010555094235018,,,3.0,0.7171793458982945,,,0.0,0.9082619951838529,-0.12638329697257056
meditators,bygroup,8,5,1,-0.2607020834935417,0.19276544641804538,0.22672016558981672,0.33564091780627214,-0.558428527072809,0.11565363688464118,0.05419501901960411,0.22959088304482944,,,4.0,0.8458375625853329,,,3.0,0.9383336776910765,0.14255007469358008
meditators,bygroup,8,5,2,-0.7549455239697574,-0.5691267466632796,-0.1490464986379883,-0.014449645826986279,-0.1533830416908458,-0.2942537665377812,0.0626174025023763,0.12432467642638738,,,1.0,0.8032438834726827,,,2.0,0.9893249351263718,-0.012183049962429525
meditators,bygroup,8,5,3,0.050884041830107016,-0.8162557830363063,-0.009833500229076314,-0.08692391723487189,-0.06192614369977163,-0.12487270714138607,-0.24770784447866226,0.1571184412540311,,,0.0,0.7927285695353098,,,4.0,0.5213323095307962,-0.008154688655868958
meditators,bygroup,8,5,4,-0.5300042638204687,-0.14680256788970716,0.0703442549908453,-0.1654578917145028,0.6368344432177263,-0.029023659712392836,0.019318699497699977,0.18791048985125025,,,2.0,0.7723413420051137,,,1.0,0.9581949937862672,0.05834492968886024
controls,global,8,5,0,0.8407736115987117,-0.1552652527080059,0.1708792747884768,0.09819038771964998,0.0024910989212500005,-0.08339420698077761,-0.053955492422928415,0.3155982218734016,0.0,0.9928635438201097,,,,,,,-0.01711914623721833
controls,global,8,5,1,-0.3651018762669994,0.45545142061327964,-0.08944686091061779,-0.47215649094477125,-0.003830335912857261,0.08687857042735754,-0.017363429870374834,0.1895439771197847,2.0,0.9515225999778014,,,,,,,-0.1709629005088649
controls,global,8,5,2,-0.7123671287042911,0.13590001819610042,0.062482957393485916,0.07036644555535151,0.06690257753366843,0.08643213568370807,-0.02043369914544694,0.1723559126443017,1.0,0.9872472128378512,,,,,,,0.039041584452574385
controls,global,8,5,3,-0.0849528519039959,-0.4232137619683174,-0.4242712084093315,-0.6315437390540382,0.11598485293362906,0.03844517865748166,0.32682529998914106,0.1446373520063744,3.0,0.8314951578455554,,,,,,,-0.01369006584098968
controls,global,8,5,4,-0.44657333574419167,0.018997720194354646,0.048952582488926796,0.7670306008953743,-0.1642919104728906,-0.05129333343801957,-0.12394258926181662,0.17786453635613753,4.0,0.9990596349441984,,,,,,,0.18977732270371728
controls,bygroup,8,5,0,0.798914276048168,-0.32216949506316905,0.056997935041679056,0.09783792848591426,-0.09921614149043993,-0.08094039444173427,-0.11290528460625159,0.29266057105272725,,,,,,,0.0,0.9928635438201097,-0.07774545617462332
controls,bygroup,8,5,1,-0.7944138462003919,0.0790601876068836,0.171955342053935,0.10991353578729834,0.08575855500190979,0.11226422384877094,-0.06831565780887285,0.1284613902581245,,,,,,,2.0,0.9872472128378512,-0.08570065983858573
controls,bygroup,8,5,2,-0.5206446590910575,0.15328414066375798,-0.2229836937683571,-0.563325099657856,0.07979261289870797,0.08546263000177325,0.03805693518043773,0.19194221225573266,,,,,,,1.0,0.9515225999778014,-0.25864388306615516
controls,bygroup,8,5,3,0.18238825413740606,0.29676122665353044,-0.024223393707052253,-0.4170381092862285,0.21074703987550236,0.02693233045896444,0.29252394090012745,0.1861450633101201,,,,,,,3.0,0.8314951578455554,0.22709038988255625
controls,bygroup,8,5,4,-0.462739816200514,0.030282558607407164,0.0280959039462128,0.7157173450654211,-0.18112959467522077,-0.05030995789878486,-0.09915702306557543,0.20079076312329538,,,,,,,4.0,0.9990596349441984,0.20035137238479325
